Loc,Lat,Long
Sabarmati Ashram,23.0608,72.5809
Aslali,22.9146,72.5971
Navagam,22.7842,72.5901
Matar,22.7065,72.6595
Nadiad (santram temple),22.6916,72.8634
Anand,22.5645,72.9289
Borsad,22.4171,72.8967
Kankarpura,22.27661,72.8117769
Kareli,21.1418398,73.0312802
Ankhi,22.1357092,73.1949842
Amod,21.9929533,72.860469
Samni,21.869065,72.9144573
Dehrol,21.765477,72.926859
Ankleshwar,21.626759,72.9844367
Mangrol,21.1178539,70.097714
Umarchhi,21.4384076,72.8432061
Bhatgam,21.1790998,70.1994899
Delad,21.3080149,72.8600125
Surat,21.1591857,72.7522569
Vanz,21.1000073,72.8893372
Navsari,20.943719,72.9103156
Karadi,20.9245948,72.8307452
Dandi,21.3335099,72.6168576
